"Time (s) Run #4","Temperature (°C) Run #4"
40.300,94.1
40.350,94.1
40.400,94.1
40.450,94.1
40.500,94.1
40.550,94.1
40.600,94.1
40.650,94.1
40.700,94.1
40.750,94.1
40.800,94.1
40.850,94.2
40.900,94.1
40.950,94.2
41.000,94.1
41.050,94.2
41.100,94.2
41.150,94.2
41.200,94.2
41.250,94.2
41.300,94.2
41.350,94.2
41.400,94.2
41.450,94.2
41.500,94.2
41.550,94.2
41.600,94.2
41.650,94.2
41.700,94.2
41.750,94.2
41.800,94.2
41.850,94.2
41.900,94.2
41.950,94.2
42.000,94.2
42.050,94.2
42.100,94.2
42.150,94.2
42.200,94.2
42.250,94.2
42.300,94.2
42.350,94.2
42.400,94.2
42.450,94.2
42.500,94.2
42.550,94.2
42.600,94.2
42.650,94.2
42.700,94.1
42.750,94.1
42.800,94.1
42.850,94.1
42.900,94.1
42.950,94.1
43.000,94.1
43.050,94.1
43.100,94.1
43.150,94.1
43.200,94.1
43.250,94.1
43.300,94.1
43.350,94.1
43.400,94.1
43.450,94.1
43.500,94.1
43.550,94.1
43.600,94.1
43.650,94.1
43.700,94.1
43.750,94.1
43.800,94.1
43.850,94.1
43.900,94.1
43.950,94.1
44.000,94.1
44.050,94.1
44.100,94.1
44.150,94.1
44.200,94.1
44.250,94.1
44.300,94.1
44.350,94.1
44.400,94.1
44.450,94.1
44.500,94.0
44.550,94.0
44.600,94.0
44.650,94.0
44.700,94.0
44.750,94.0
44.800,94.0
44.850,94.0
44.900,94.0
44.950,94.0
45.000,94.0
45.050,94.0
45.100,94.0
45.150,94.0
45.200,94.0
45.250,94.0
45.300,94.0
45.350,94.0
45.400,94.0
45.450,94.0
45.500,94.0
45.550,94.0
45.600,94.0
45.650,94.0
45.700,94.0
45.750,94.0
45.800,94.0
45.850,94.0
45.900,94.0
45.950,94.0
46.000,93.9
46.050,93.9
46.100,93.9
46.150,93.9
46.200,93.9
46.250,93.9
46.300,93.9
46.350,93.9
46.400,93.9
46.450,93.9
46.500,93.9
46.550,93.9
46.600,93.9
46.650,93.9
46.700,93.9
46.750,93.9
46.800,93.9
46.850,93.9
46.900,93.8
46.950,93.8
47.000,93.8
47.050,93.8
47.100,93.8
47.150,93.8
47.200,93.8
47.250,93.8
47.300,93.8
47.350,93.8
47.400,93.8
47.450,93.8
47.500,93.8
47.550,93.7
47.600,93.7
47.650,93.7
47.700,93.7
47.750,93.7
47.800,93.7
47.850,93.7
47.900,93.7
47.950,93.7
48.000,93.7
48.050,93.7
48.100,93.7
48.150,93.7
48.200,93.7
48.250,93.7
48.300,93.6
48.350,93.6
48.400,93.6
48.450,93.6
48.500,93.6
48.550,93.6
48.600,93.6
48.650,93.6
48.700,93.6
48.750,93.6
48.800,93.6
48.850,93.6
48.900,93.6
48.950,93.6
49.000,93.6
49.050,93.6
49.100,93.6
49.150,93.6
49.200,93.6
49.250,93.6
49.300,93.5
49.350,93.5
49.400,93.5
49.450,93.5
49.500,93.5
49.550,93.5
49.600,93.5
49.650,93.5
49.700,93.5
49.750,93.5
49.800,93.5
49.850,93.5
49.900,93.5
49.950,93.5
50.000,93.5
50.050,93.5
50.100,93.5
50.150,93.5
50.200,93.5
50.250,93.5
50.300,93.5
50.350,93.5
50.400,93.5
50.450,93.5
50.500,93.5
50.550,93.5
50.600,93.5
50.650,93.5
50.700,93.5
50.750,93.5
50.800,93.5
50.850,93.5
50.900,93.5
50.950,93.5
51.000,93.5
51.050,93.5
51.100,93.5
51.150,93.5
51.200,93.5
51.250,93.5
51.300,93.5
51.350,93.5
51.400,93.5
51.450,93.5
51.500,93.4
51.550,93.4
51.600,93.4
